단어	뜻
"""발단"""	어떤 일의 시작점이나 동기를 나타내는 단어.
발단	어떤 일의 시작점이나 동기를 나타내는 단어.
약수	"정수로 나누어 떨어지는 수로, 다른 수를 나눌 때 나머지가 0인 수."
기행문	"여행 경험을 기록한 문학 장르로, 저자의 여행 이야기와 경험을 담고 있음."
연소	물질이 불에 타면서 열과 광을 발생시키는 화학 반응.
바람	대기 중의 공기의 움직임을 나타내는 용어.
을사조약	"1494년에 스페인과 포르투갈 간에 체결된 조약으로, 세계를 서로 분할하기 위한 내용을 담고 있음."
원	"평면 상의 곡선으로, 모든 점이 일정한 거리만큼 중심으로부터 떨어진 점의 집합."
자전	물체가 자신의 축 주위로 회전하는 운동.
물체	형태나 물리적 특성을 가지고 있는 물체.
독자	글을 읽는 사람. 
편지	서신이나 메시지를 쓰고 보내는 통신 수단.
고려	고려 왕조로 알려진 중세 시대의 한국 역사적 기간.
국회	"국가의 입법 기관으로, 법을 제정하고 수정하는 역할을 수행하는 기관."
비교	두 개 이상의 것을 분석하여 차이점과 유사점을 파악하는 행위.
선거	대중이 정부나 공직자를 선택하기 위해 투표하는 과정.
단위	측정이나 계산을 위한 기준 값.
민주주의	국가의 통치를 시민들이 직접 또는 대표를 통해 결정하는 정치 체제.
공통점	두 개 이상의 대상 사이에 공유되는 특징이나 특성.
문단	"글의 조직 단위로, 연관된 아이디어나 정보를 그룹화한 블록."
빙하	빙하는 얼음과 눈의 층이 쌓여 형성된 대규모 얼음 덩어리.
구	"자연수 중의 하나로, 숫자 9를 나타냄."
용액	한 물질(용질)이 다른 물질(용질)에 완전히 녹아 있는 혼합물.
백제	"한국의 삼국 시대에 존재한 한 나라로, 고구려와 신라와 함께 삼국 중 하나."
분수	어떤 수를 다른 수로 나눈 결과를 나타내는 수의 형태.
사각형	네 개의 직각을 가진 평행사변형 모양의 도형.
법원	법과 사법 절차를 관리하고 결정하는 공식적인 기관.
문맥	"어떤 사건, 상황 또는 텍스트 내에서 특정 사건이나 정보를 이해하기 위한 배경 정보."
수직선	수학에서 수직 방향으로 진행되는 직선.
저작권	"원작자에게 지정된 기간 동안 자신의 창작물을 복제, 배포, 판매하는 권리를 부여하는 법적 보호."
대각선	"도형 내에서 꼭짓점을 연결하는 선분으로, 직각을 이루지 않음. "
진공	"물질이 존재하지 않는 공간으로, 공기나 다른 물질이 없는 상태."
낭독	글을 소리 내어 읽는 행위.
조선	한국 역사에서 중세 시대와 조선 왕조 시대를 나타내는 용어.
구성원	"어떤 그룹, 조직 또는 집단의 일원."
외래어	다른 언어에서 유래한 단어나 표현.
퇴적암	지구의 표면에서 퇴적되어 형성된 암석.
광고	"상품, 서비스, 이벤트 등을 홍보하거나 소개하는 커뮤니케이션 매체."
확률	"어떤 사건이 발생할 가능성이나 빈도를 나타내는 숫자로, 일반적으로 0에서 1 사이의 값."
통분	분수의 분모 중에서 공통으로 나타나는 가장 큰 수.
의병	역사적으로 민중이나 국가의 독립과 자유를 위해 반군활동을 벌인 민중 또는 군대.
호흡	생물체가 산소를 흡입하여 에너지를 얻는 과정.
헌법	"국가나 단체의 기본 법률로, 정부의 기능과 권한, 시민의 권리와 의무 등을 규정함."
수선	손상된 물체를 원래 상태로 복구하거나 고치는 작업.
각	두 개의 선분이 교차하는 지점에서 형성되는 공간의 크기.
그래프	수학에서 데이터를 시각적으로 나타내기 위한 그림 또는 도표.
다각형	평면 상에서 여러 개의 직선 세그먼트로 이루어진 도형.
고산 기후	고도가 높은 지역에서 나타나는 기후 조건.
소득	개인이나 가구가 특정 기간 동안 얻는 돈 또는 자원.
무게	"물체의 질량을 측정한 값으로, 지구 중력에 의해 인도하는 힘의 크기."
굴절	빛이나 파동이 한 매질에서 다른 매질로 들어갈 때 방향이 바뀌는 현상.
운율	규칙적인 패턴으로 나타나는 시간적인 움직임 또는 주기.
행성	"태양 또는 다른 별 주위를 공전하는 천체로, 지구처럼 둥근 모양을 가진 것을 일반적으로 가리킴."
정사각형	네 개의 같은 길이의 변과 네 개의 직각을 가진 도형.
각도기	"각도를 측정하는 도구로, 일반적으로 180도나 360도의 각도를 측정할 수 있음."
어휘	언어에서 사용되는 모든 단어나 용어의 집합.
축척	지도나 그래프 등에서 특정한 비율로 크기를 나타내는 것.
검산	어떤 정보나 결과가 정확하고 올바른지 확인하는 과정.
미만	수량이나 값이 다른 수나 값보다 작은 상태를 나타냄.
기록	"정보나 사건을 문서화하거나 저장하는 것, 또는 저장된 정보 자체."
배수	어떤 수를 다른 수로 나누었을 때 나누어 떨어지는 수.
고유어	특정 지역이나 문화에서 발전한 원주민 언어.
관점	특정 주제나 상황을 바라보는 시각이나 입장.
타협	서로 다른 의견이나 요구 사항 사이에서 중간 지점을 찾는 것.
설명문	정보나 사실을 설명하거나 전달하기 위해 쓰여진 글.
다의어	동일한 단어나 표현이 여러 가지 다른 의미를 가지는 현상.
내용	"글, 영상, 웹사이트 등에서 제공되는 정보나 소재."
